"","week","deathrate"
"1",0,0
"2",1,0
"3",2,0
"4",3,0
"5",4,0
"6",5,0.153846153846154
"7",6,0.0296846011131725
"8",7,0.018359853121175
"9",8,0.0166919941143836
"10",9,0.0291695521939742
"11",10,0.0473334563572615
"12",11,0.070221162809032
"13",12,0.0769345504444842
"14",13,0.0707298047924958
"15",14,0.0683524277998669
"16",15,0.070437835729076
"17",16,0.0627905376236447
"18",17,0.0502032972061342
"19",18,0.046321957945536
"20",19,0.0379232163408197
"21",20,0.0325085166503816
"22",21,0.0207293704339495
"23",22,0.013647251973491
"24",23,0.0105763029502014
"25",24,0.0127574406740519
"26",25,0.0121149363571669
"27",26,0.0156135583650207
"28",27,0.0173636139459008
"29",28,0.0196041738598715
"30",29,0.0204749441764461
"31",30,0.0223566429591287
"32",31,0.022025536254453
"33",32,0.0204500463122718
"34",33,0.020655164575021
"35",34,0.0174701792518298
"36",35,0.0185356491964434
"37",36,0.0165041211474108
"38",37,0.0143872901441554
"39",38,0.0126370943733254
"40",39,0.0118440824971005
"41",40,0.00966171235172975
"42",41,0.00882444747458864
"43",42,0.00746943453897096
"44",43,0.0092891691806842
"45",44,0.00974685818140832
"46",45,0.0113458632295879
"47",46,0.011825774776246
"48",47,0.0128052240439164
"49",48,0.0129087267130394
"50",49,0.0125579515340219
"51",50,0.0132133711580796
"52",51,0.0159228245205327
"53",52,0.0187070642662022
"54",53,0.0217799320583059
"55",54,0.0262506159405412
"56",55,0.0279485375147709
"57",56,0.0293349725734285
"58",57,0.0296174603941572
"59",58,0.0275632070391885
"60",59,0.0228588097413895
"61",60,0.0189656777350763
"62",61,0.0151527981327688
"63",62,0.0122747205673884
"64",63,0.0142446650031269
"65",64,0.0108522380213554
"66",65,0.0127705767565682
"67",66,0.0136900717469165
"68",67,0.0163337654822856
"69",68,0.018336105450443
"70",69,0.0273194579244401
