"","location","continent","all_deaths","all_cases","death_rate"
"1","Afghanistan","Asia",2792,65486,4.26
"2","Armenia","Asia",4386,221880,1.98
"3","Azerbaijan","Asia",4851,332235,1.46
"4","Bahrain","Asia",809,214870,0.38
"5","Bangladesh","Asia",12348,787726,1.57
"6","Bhutan","Asia",1,1392,0.07
"7","Brunei","Asia",3,235,1.28
"8","Cambodia","Asia",167,24645,0.68
"9","China","Asia",4636,91023,5.09
"10","Georgia","Asia",4602,336840,1.37
"11","Hong Kong","Asia",210,11830,1.78
"12","India","Asia",295525,26289290,1.12
"13","Indonesia","Asia",48887,1758898,2.78
"14","Iran","Asia",78381,2823887,2.78
"15","Iraq","Asia",16158,1164149,1.39
"16","Israel","Asia",6397,839308,0.76
"17","Japan","Asia",12203,715880,1.7
"18","Jordan","Asia",9295,726432,1.28
"19","Kazakhstan","Asia",3423,427873,0.8
"20","Kuwait","Asia",1724,298223,0.58
"21","Kyrgyzstan","Asia",1743,102186,1.71
"22","Laos","Asia",2,1782,0.11
"23","Lebanon","Asia",7670,538218,1.43
"24","Macao","Asia",0,0,0
"25","Malaysia","Asia",2199,505115,0.44
"26","Maldives","Asia",123,54365,0.23
"27","Mongolia","Asia",248,52470,0.47
"28","Myanmar","Asia",3216,143228,2.25
"29","Nepal","Asia",6153,505643,1.22
"30","Northern Cyprus","Asia",0,0,0
"31","Oman","Asia",2239,208607,1.07
"32","Pakistan","Asia",20251,900552,2.25
"33","Palestine","Asia",3459,305201,1.13
"34","Philippines","Asia",19946,1178217,1.69
"35","Qatar","Asia",543,215160,0.25
"36","Saudi Arabia","Asia",7237,439847,1.65
"37","Singapore","Asia",32,61799,0.05
"38","South Korea","Asia",1931,135929,1.42
"39","Sri Lanka","Asia",1178,161242,0.73
"40","Syria","Asia",1729,24052,7.19
"41","Taiwan","Asia",17,3862,0.44
"42","Tajikistan","Asia",90,13308,0.68
"43","Thailand","Asia",759,126118,0.6
"44","Timor","Asia",11,5481,0.2
"45","Turkey","Asia",46071,5178648,0.89
"46","Turkmenistan","Asia",0,0,0
"47","United Arab Emirates","Asia",1648,554516,0.3
"48","Uzbekistan","Asia",680,98164,0.69
"49","Vietnam","Asia",42,5119,0.82
"50","Yemen","Asia",1304,6649,19.61
