"","Africa","Asia","Europe","South_America"
"1","2.69","4.26","1.85","0"
"2","2.22","1.98","0.94","3.34"
"3","1.26","1.46","1.64","0"
"4","1.52","0.38","0.72","1.95"
"5","1.23","1.57","2.37","1.18"
"6","0.13","0.07","4.48","2.53"
"7","1.59","1.28","4.2","0"
"8","0.88","0.68","2.23","0"
"9","1.37","5.09","0.49","1.85"
"10","3.51","1.37","1.81","0"
"11","3.77","1.78","0.92","1.26"
"12","1.31","1.12","0.97","0.65"
"13","0.63","2.78","0","0"
"14","2.52","2.78","1.02","0"
"15","1.32","1.39","1.81","1.28"
"16","5.81","0.76","2.39","3.06"
"17","1.34","1.7","0","0"
"18","0.36","1.28","3.02","0.62"
"19","3.62","0.8","0","3.24"
"20","1.51","0.58","3.68","2.03"
"21","0.61","1.71","0.44","2.65"
"22","2.93","0.11","1.94","1.9"
"23","0.84","1.43","0","9.25"
"24","0.69","0","2.99","0"
"25","1.81","0.44","0","2.57"
"26","1.81","0.23","2.1","1.69"
"27","3.01","0.47","1.78","0"
"28","3.97","2.25","1.93","1.56"
"29","1.7","1.22","1.54","0.61"
"30","1.94","0","1.16","0"
"31","3.36","1.07","1.37","1.88"
"32","3.6","2.25","2.38","0"
"33","2.4","1.13","1.28","1.78"
"34","1.31","1.69","1.58",""
"35","1.76","0.25","1.08",""
"36","1.18","1.65","3.42",""
"37","1.45","0.05","0.64",""
"38","3.58","1.42","2.54",""
"39","1.25","0.73","2.01",""
"40","1.31","7.19","2.78",""
"41","0","0.44","2.35",""
"42","1.54","0.68","1.77",""
"43","2.75","0.6","0.95",""
"44","0.36","0.2","3.16",""
"45","1.92","0.89","1.73",""
"46","5.25","0","2.19",""
"47","3.42","0.3","1.36",""
"48","1.08","0.69","1.57",""
"49","7.36","0.82","2.29",""
"50","4.13","19.61","2.86",""
"51","0.94","","0",""
"52","3.65","","",""
"53","0.8","","",""
"54","1.36","","",""
"55","4.1","","",""
